candidate_approval_number,discipline_root,approval_year,project_type_contexts,discipline_scope_contexts,priority,existence_status,evidence_level,confirmed_sources,publication_evidence_count,project_title_candidate,lead_investigator_candidate,institution_candidate,exact_web_query,funding_web_query,institution_site_query,official_confirmation_status,next_action,warning
22077109,B,2020,general,B07,P1,confirmed_bibliographic,C_bibliographic,crossref,10,,,,"""22077109""","""22077109"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22077109""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22106044,B,2021,youth_c,B06,P1,confirmed_bibliographic,C_bibliographic,crossref,5,,,,"""22106044""","""22106044"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22106044""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22001188,B,2020,youth_c,B01,P1,confirmed_bibliographic,C_bibliographic,crossref,3,,,,"""22001188""","""22001188"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22001188""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22078194,B,2020,general,B08,P1,confirmed_bibliographic,C_bibliographic,crossref,2,,,,"""22078194""","""22078194"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22078194""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22101129,B,2021,youth_c,B01,P1,confirmed_bibliographic,C_bibliographic,crossref,2,,,,"""22101129""","""22101129"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22101129""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21901112,B,2019,youth_c,B01,P1,confirmed_bibliographic,C_bibliographic,crossref,2,,,,"""21901112""","""21901112"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21901112""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21901231,B,2019,youth_c,B01,P1,confirmed_bibliographic,C_bibliographic,crossref,2,,,,"""21901231""","""21901231"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21901231""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22101011,B,2021,youth_c,B01,P1,confirmed_bibliographic,C_bibliographic,crossref,1,,,,"""22101011""","""22101011"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22101011""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22004067,B,2020,youth_c,B04,P1,confirmed_bibliographic,C_bibliographic,crossref,1,,,,"""22004067""","""22004067"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22004067""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22103023,B,2021,youth_c,B03,P1,confirmed_bibliographic,C_bibliographic,crossref,1,,,,"""22103023""","""22103023"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22103023""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21766012,B,2017,regional,B08,P2,confirmed_bibliographic,C_bibliographic,crossref,16,,,,"""21766012""","""21766012"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21766012""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22061042,B,2020,regional,B01,P2,confirmed_bibliographic,C_bibliographic,crossref,1,,,,"""22061042""","""22061042"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22061042""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21732002,B,2017,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,150,,,,"""21732002""","""21732002"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21732002""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21577032,B,2015,general,B06,P3,confirmed_bibliographic,C_bibliographic,crossref,102,,,,"""21577032""","""21577032"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21577032""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21431007,B,2014,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,93,,,,"""21431007""","""21431007"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21431007""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21833009,B,2018,key,B03,P3,confirmed_bibliographic,C_bibliographic,crossref,75,,,,"""21833009""","""21833009"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21833009""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21575128,B,2015,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,69,,,,"""21575128""","""21575128"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21575128""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21631004,B,2016,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,68,,,,"""21631004""","""21631004"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21631004""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21432008,B,2014,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,62,,,,"""21432008""","""21432008"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21432008""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21232005,B,2012,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,60,,,,"""21232005""","""21232005"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21232005""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21532005,B,2015,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,59,,,,"""21532005""","""21532005"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21532005""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21132003,B,2011,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,56,,,,"""21132003""","""21132003"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21132003""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21332004,B,2013,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,54,,,,"""21332004""","""21332004"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21332004""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21775039,B,2017,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,51,,,,"""21775039""","""21775039"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21775039""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21331004,B,2013,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,47,,,,"""21331004""","""21331004"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21331004""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21476271,B,2014,general,B08,P3,confirmed_bibliographic,C_bibliographic,crossref,43,,,,"""21476271""","""21476271"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21476271""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21575039,B,2015,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,40,,,,"""21575039""","""21575039"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21575039""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21765015,B,2017,regional,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,34,,,,"""21765015""","""21765015"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21765015""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21305033,B,2013,youth_c,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,32,,,,"""21305033""","""21305033"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21305033""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21675123,B,2016,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,31,,,,"""21675123""","""21675123"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21675123""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21475068,B,2014,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,30,,,,"""21475068""","""21475068"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21475068""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21275067,B,2012,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,28,,,,"""21275067""","""21275067"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21275067""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21076143,B,2010,general,B08,P3,confirmed_bibliographic,C_bibliographic,crossref,27,,,,"""21076143""","""21076143"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21076143""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21375105,B,2013,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,27,,,,"""21375105""","""21375105"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21375105""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21675174,B,2016,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,27,,,,"""21675174""","""21675174"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21675174""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21532002,B,2015,key,B01,P3,confirmed_bibliographic,C_bibliographic,crossref,27,,,,"""21532002""","""21532002"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21532002""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21575011,B,2015,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,26,,,,"""21575011""","""21575011"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21575011""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21175041,B,2011,general,B04,P3,confirmed_bibliographic,C_bibliographic,crossref,26,,,,"""21175041""","""21175041"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21175041""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21476145,B,2014,general,B08,P3,confirmed_bibliographic,C_bibliographic,crossref,25,,,,"""21476145""","""21476145"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21476145""",not_checked,official_or_institutional_confirmation,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
