discipline_root,candidate_approval_number,approval_year,project_type_contexts,discipline_scope_contexts,segment_ids,max_segment_density,priority,context_risk,next_probe_policy,exact_web_query,funding_web_query,crossref_filter,institution_site_query,status,selected_for_first_batch,warning,crossref_strict_http_status,crossref_strict_total_results,crossref_strict_exact_nsfc_work_count,crossref_fallback_http_status,crossref_fallback_total_results,crossref_fallback_exact_award_count,openalex_award_count,openalex_work_count,openalex_award_http_statuses,openalex_work_http_statuses,confirmed_sources,publication_evidence_count,existence_status,evidence_level,project_title_candidate,lead_investigator_candidate,institution_candidate,candidate_identity_source,official_confirmation_status,requires_web_review,next_action,source_errors,retrieved_at,warning
E,51875186,2018,general,E05,2018|general|E05|51875|3,0.998294,P1,false,immediate_probe,"""51875186""","""51875186"" ""National Natural Science Foundation of China""","award.number:51875186,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51875186""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,5,5,,0,0,0,0,200,200,crossref,5,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51775530,2017,general,E05,2017|general|E05|51775|3,0.998230,P1,false,immediate_probe,"""51775530""","""51775530"" ""National Natural Science Foundation of China""","award.number:51775530,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51775530""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,4,4,,0,0,0,0,200,200,crossref,4,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51905129,2019,youth_c,E05,2019|youth_c|E05|51905|3,0.998208,P1,false,immediate_probe,"""51905129""","""51905129"" ""National Natural Science Foundation of China""","award.number:51905129,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51905129""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51805101,2018,youth_c,E05,2018|youth_c|E05|51805|3,0.998205,P1,false,immediate_probe,"""51805101""","""51805101"" ""National Natural Science Foundation of China""","award.number:51805101,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51805101""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51675468,2016,general,E05,2016|general|E05|51675|3,0.998148,P1,false,immediate_probe,"""51675468""","""51675468"" ""National Natural Science Foundation of China""","award.number:51675468,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51675468""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,1,1,,0,0,0,0,200,200,crossref,1,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51375019,2013,general,E05,2013|general|E05|51375|3,0.998081,P1,false,immediate_probe,"""51375019""","""51375019"" ""National Natural Science Foundation of China""","award.number:51375019,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51375019""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,1,1,,0,0,0,0,200,200,crossref,1,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51505496,2015,youth_c,E05,2015|youth_c|E05|51505|3,0.998024,P1,false,immediate_probe,"""51505496""","""51505496"" ""National Natural Science Foundation of China""","award.number:51505496,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51505496""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,2,2,,0,0,0,0,200,200,crossref,2,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51205070,2012,youth_c,E05,2012|youth_c|E05|51205|3,0.997701,P1,false,immediate_probe,"""51205070""","""51205070"" ""National Natural Science Foundation of China""","award.number:51205070,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51205070""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,3,3,,0,0,0,0,200,200,crossref,3,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51075251,2010,general,E05,2010|general|E05|51075|3,0.997625,P1,false,immediate_probe,"""51075251""","""51075251"" ""National Natural Science Foundation of China""","award.number:51075251,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51075251""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51974216,2019,general,E04,2019|general|E04|51974|3,0.997368,P1,false,immediate_probe,"""51974216""","""51974216"" ""National Natural Science Foundation of China""","award.number:51974216,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51974216""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,14,14,,0,0,0,0,200,200,crossref,14,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
B,22078194,2020,general,B08,2020|general|B08|22078|3,0.997326,P1,false,immediate_probe,"""22078194""","""22078194"" ""National Natural Science Foundation of China""","award.number:22078194,award.funder:501100001809","site:edu.cn OR site:ac.cn ""22078194""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,2,2,,0,0,0,0,200,200,crossref,2,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51874094,2018,general,E04,2018|general|E04|51874|3,0.997312,P1,false,immediate_probe,"""51874094""","""51874094"" ""National Natural Science Foundation of China""","award.number:51874094,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51874094""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,8,8,,0,0,0,0,200,200,crossref,8,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51904231,2019,youth_c,E04,2019|youth_c|E04|51904|3,0.997222,P1,false,immediate_probe,"""51904231""","""51904231"" ""National Natural Science Foundation of China""","award.number:51904231,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51904231""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,2,2,,0,0,0,0,200,200,crossref,1,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51602158,2016,youth_c,E02,2016|youth_c|E02|51602|3,0.997207,P1,false,immediate_probe,"""51602158""","""51602158"" ""National Natural Science Foundation of China""","award.number:51602158,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51602158""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,7,6,,0,0,0,0,200,200,crossref,6,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51804047,2018,youth_c,E04,2018|youth_c|E04|51804|3,0.997191,P1,false,immediate_probe,"""51804047""","""51804047"" ""National Natural Science Foundation of China""","award.number:51804047,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51804047""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,3,1,,0,0,0,0,200,200,crossref,1,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
E,51502303,2015,youth_c,E02,2015|youth_c|E02|51502|3,0.997167,P1,false,immediate_probe,"""51502303""","""51502303"" ""National Natural Science Foundation of China""","award.number:51502303,award.funder:501100001809","site:edu.cn OR site:ac.cn ""51502303""",queued,true,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,2,2,,0,0,0,0,200,200,crossref,2,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:33:47+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
